	0
mmu-mir-6341	120
mmu-miR-6341	22
mmu-mir-206	72
mmu-miR-206-5p	22
mmu-miR-206-3p	21
mmu-mir-133b	118
mmu-miR-133b-5p	21
mmu-miR-133b-3p	21
mmu-mir-30a	70
mmu-miR-30a-5p	21
mmu-miR-30a-3p	21
mmu-mir-30c-2	83
mmu-miR-30c-5p	22
mmu-miR-30c-2-3p	21
mmu-mir-6342	124
mmu-miR-6342	21
mmu-mir-6896	72
mmu-miR-6896-5p	21
mmu-miR-6896-3p	21
mmu-mir-5103	78
mmu-miR-5103	19
mmu-mir-6897	61
mmu-miR-6897-5p	22
mmu-miR-6897-3p	20
mmu-mir-6898	76
mmu-miR-6898-5p	21
mmu-miR-6898-3p	20
mmu-mir-6349	96
mmu-miR-6349	21
mmu-mir-6350	104
mmu-miR-6350	20
mmu-mir-7681	71
mmu-miR-7681-5p	19
mmu-miR-7681-3p	21
mmu-mir-6899	63
mmu-miR-6899-5p	20
mmu-miR-6899-3p	22
mmu-mir-6351	98
mmu-miR-6351	22
mmu-mir-1928	66
mmu-miR-1928	16
mmu-mir-26b	84
mmu-miR-26b-5p	20
mmu-miR-26b-3p	21
mmu-mir-375	63
mmu-miR-375-5p	21
mmu-miR-375-3p	21
mmu-mir-6343	83
mmu-miR-6343	21
mmu-mir-6352	115
mmu-miR-6352	21
mmu-mir-6344	103
mmu-miR-6344	21
mmu-mir-6353	112
mmu-miR-6353	22
mmu-mir-5126	76
mmu-miR-5126	21
mmu-mir-8096	126
mmu-miR-8096	19
mmu-mir-3535	146
mmu-miR-3535	25
mmu-mir-6900	59
mmu-miR-6900-5p	23
mmu-miR-6900-3p	20
mmu-mir-149	65
mmu-miR-149-5p	22
mmu-miR-149-3p	21
mmu-mir-6901	61
mmu-miR-6901-5p	19
mmu-miR-6901-3p	19
mmu-mir-6902	63
mmu-miR-6902-5p	21
mmu-miR-6902-3p	20
mmu-mir-6345	127
mmu-miR-6345	20
mmu-mir-3473f	135
